Time,Amplitude
4.6923,0.000111839072603956
4.6924,0.000117901891687794
4.6925,9.01622879271802e-05
4.6926,7.66272310970647e-05
4.6927,5.99854498916983e-05
4.6928,3.41159794616653e-05
4.6929,1.98799038782714e-05
4.693,8.80909993349506e-06
4.6931,2.05323972308407e-05
4.6932,5.45244500749329e-06
4.6933,-9.32087170570561e-06
4.6934,-2.06923313677192e-05
4.6935,-4.85126793574431e-05
4.6936,-6.83584480594849e-05
4.6937,-9.10699103871491e-05
4.6938,-8.46616280779694e-05
4.6939,-0.000120293578404596
4.694,-0.000116921563925529
4.6941,-0.000134464477914788
4.6942,-0.000132804657788876
4.6943,-0.000164291492782056
4.6944,-0.000160254682793717
4.6945,-0.000171330333523216
4.6946,-0.00018001555408243
4.6947,-0.000187389812324717
4.6948,-0.000175606197650753
4.6949,-0.000201578691293654
4.695,-0.000191209877561936
4.6951,-0.000203450214344268
4.6952,-0.000217372749978333
4.6953,-0.000226702753274027
4.6954,-0.00022038467169697
4.6955,-0.000218246082376069
4.6956,-0.000206633837716312
4.6957,-0.000194382663302797
4.6958,-0.000167244859477131
4.6959,-0.000125858468699595
4.696,-0.000127904000147381
4.6961,-9.28028178934761e-05
4.6962,-5.93917804311599e-05
4.6963,-5.42482931061954e-05
4.6964,-3.24909146656022e-05
4.6965,-1.74712064143807e-05
4.6966,-1.0184374004915e-05
4.6967,2.79277177398273e-05
4.6968,3.14547714353773e-05
4.6969,3.72799852435689e-05
4.697,2.32837429972967e-05
4.6971,2.49411582853858e-05
4.6972,1.87076441211675e-05
4.6973,-1.26663135894368e-05
4.6974,-2.84789832500787e-05
4.6975,-3.70630768007083e-05
4.6976,-6.38049959061082e-05
4.6977,-6.93368520125221e-05
4.6978,-6.8989700424577e-05
4.6979,-7.31006988628817e-05
4.698,-8.72057771721126e-05
4.6981,-7.09217292091904e-05
4.6982,-8.44696778428529e-05
4.6983,-8.21850746450731e-05
4.6984,-7.51346127024418e-05
4.6985,-8.4408944116104e-05
4.6986,-7.59316141614998e-05
4.6987,-7.97657792296844e-05
4.6988,-8.44493266901312e-05
4.6989,-9.49626960226071e-05
4.699,-0.000105809215691607
4.6991,-0.000101318718189257
4.6992,-9.10571284124195e-05
4.6993,-0.000108165250263834
4.6994,-0.000103604879363859
4.6995,-0.00012277581965276
4.6996,-0.000122238280475576
4.6997,-0.000138439061587883
4.6998,-0.000158285021573567
4.6999,-0.000141689507530935
4.7,-0.000160681320468968
4.7001,-0.000172625518953382
4.7002,-0.000187176238274638
4.7003,-0.000186695763285601
4.7004,-0.000193743659546112
4.7005,-0.000199862628389552
4.7006,-0.000174043984068218
4.7007,-0.000195023400881716
4.7008,-0.00017660040362739
4.7009,-0.000178728819322584
4.701,-0.000192276256141528
4.7011,-0.000191231574738449
4.7012,-0.000189635263841284
4.7013,-0.000192133571197555
4.7014,-0.000187646614096821
4.7015,-0.00019168135748134
4.7016,-0.000188742457455175
4.7017,-0.00019348847393879
4.7018,-0.000182710334977841
4.7019,-0.000175147843229486
